geo_fips,geo_name,gdp_15,pop_15,gdp_per_capita
17001,"Adams, IL",3275472,66850,49
17003,"Alexander, IL",159608,6763,23.6
17005,"Bond, IL",526003,16688,31.5
17007,"Boone, IL",1605375,53571,30
17009,"Brown, IL",407593,6755,60.3
17011,"Bureau, IL",1302420,33494,38.9
17013,"Calhoun, IL",79070,4858,16.3
17015,"Carroll, IL",583279,14638,39.8
17017,"Cass, IL",549090,12843,42.8
17019,"Champaign, IL",10481939,209534,50
17021,"Christian, IL",1460014,33480,43.6
17023,"Clark, IL",549431,15881,34.6
17025,"Clay, IL",589421,13395,44
17027,"Clinton, IL",992205,37657,26.3
17029,"Coles, IL",2105639,52217,40.3
17031,"Cook, IL",349888900,5243371,66.7
17033,"Crawford, IL",2418629,19262,125.6
17035,"Cumberland, IL",581057,10869,53.5
17037,"DeKalb, IL",3642290,104238,34.9
17039,"De Witt, IL",1090164,16185,67.4
17041,"Douglas, IL",997228,19827,50.3
17043,"DuPage, IL",81728251,933669,87.5
17045,"Edgar, IL",726027,17625,41.2
17047,"Edwards, IL",248461,6514,38.1
17049,"Effingham, IL",1764840,34200,51.6
17051,"Fayette, IL",502872,22048,22.8
17053,"Ford, IL",585091,13527,43.3
17055,"Franklin, IL",1030124,39398,26.1
17057,"Fulton, IL",848704,35709,23.8
17059,"Gallatin, IL",205931,5224,39.4
17061,"Greene, IL",266838,13345,20
17063,"Grundy, IL",3258016,50358,64.7
17065,"Hamilton, IL",393344,8247,47.7
17067,"Hancock, IL",471501,18217,25.9
17069,"Hardin, IL",83710,4065,20.6
17071,"Henderson, IL",146105,7001,20.9
17073,"Henry, IL",1395651,49654,28.1
17075,"Iroquois, IL",1190032,28529,41.7
17077,"Jackson, IL",2357184,59249,39.8
17079,"Jasper, IL",565556,9630,58.7
17081,"Jefferson, IL",1662037,38290,43.4
17083,"Jersey, IL",501088,22268,22.5
17085,"Jo Daviess, IL",851589,22068,38.6
17087,"Johnson, IL",205339,12768,16.1
17089,"Kane, IL",23091016,528562,43.7
17091,"Kankakee, IL",4582537,111786,41
17093,"Kendall, IL",3123363,122892,25.4
17095,"Knox, IL",1753613,51377,34.1
17097,"Lake, IL",56243389,704687,79.8
17099,"LaSalle, IL",5167093,111015,46.5
17101,"Lawrence, IL",553325,16467,33.6
17103,"Lee, IL",1335088,34521,38.7
17105,"Livingston, IL",1590087,36615,43.4
17107,"Logan, IL",891770,29286,30.5
17109,"McDonough, IL",1148392,31461,36.5
17111,"McHenry, IL",10951016,307595,35.6
17113,"McLean, IL",12830672,173222,74.1
17115,"Macon, IL",7356235,107398,68.5
17117,"Macoupin, IL",1162283,45887,25.3
17119,"Madison, IL",14955648,266112,56.2
17121,"Marion, IL",1221607,38381,31.8
17123,"Marshall, IL",337600,11925,28.3
17125,"Mason, IL",438354,13862,31.6
17127,"Massac, IL",664703,14568,45.6
17129,"Menard, IL",219836,12364,17.8
17131,"Mercer, IL",361192,15748,22.9
17133,"Monroe, IL",875166,33811,25.9
17135,"Montgomery, IL",1134652,29196,38.9
17137,"Morgan, IL",1329612,34693,38.3
17139,"Moultrie, IL",572775,14747,38.8
17141,"Ogle, IL",2649873,51572,51.4
17143,"Peoria, IL",11121786,186552,59.6
17145,"Perry, IL",611748,21522,28.4
17147,"Piatt, IL",418955,16356,25.6
17149,"Pike, IL",429445,15794,27.2
17151,"Pope, IL",64095,4302,14.9
17153,"Pulaski, IL",221411,5662,39.1
17155,"Putnam, IL",314515,5729,54.9
17157,"Randolph, IL",1508247,32754,46
17159,"Richland, IL",652410,15952,40.9
17161,"Rock Island, IL",9289190,146161,63.6
17163,"St. Clair, IL",10498626,265008,39.6
17165,"Saline, IL",1100741,24495,44.9
17167,"Sangamon, IL",10065856,198973,50.6
17169,"Schuyler, IL",240191,7150,33.6
17171,"Scott, IL",140560,5112,27.5
17173,"Shelby, IL",654426,21819,30
17175,"Stark, IL",185722,5508,33.7
17177,"Stephenson, IL",2046314,45680,44.8
17179,"Tazewell, IL",8608596,134350,64.1
17181,"Union, IL",370244,17285,21.4
17183,"Vermilion, IL",3026740,79209,38.2
17185,"Wabash, IL",357129,11627,30.7
17187,"Warren, IL",674591,17448,38.7
17189,"Washington, IL",833867,14259,58.5
17191,"Wayne, IL",412211,16534,24.9
17193,"White, IL",574150,14204,40.4
17195,"Whiteside, IL",1988351,56943,34.9
17197,"Will, IL",28388989,685825,41.4
17199,"Williamson, IL",2596842,67457,38.5
17201,"Winnebago, IL",12516600,287237,43.6
17203,"Woodford, IL",1087959,38949,27.9
