"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Population (Number of persons) 1/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2015"
"17000","Illinois",12859585
"17001","Adams, IL",66850
"17003","Alexander, IL",6763
"17005","Bond, IL",16688
"17007","Boone, IL",53571
"17009","Brown, IL",6755
"17011","Bureau, IL",33494
"17013","Calhoun, IL",4858
"17015","Carroll, IL",14638
"17017","Cass, IL",12843
"17019","Champaign, IL",209534
"17021","Christian, IL",33480
"17023","Clark, IL",15881
"17025","Clay, IL",13395
"17027","Clinton, IL",37657
"17029","Coles, IL",52217
"17031","Cook, IL",5243371
"17033","Crawford, IL",19262
"17035","Cumberland, IL",10869
"17037","DeKalb, IL",104238
"17039","De Witt, IL",16185
"17041","Douglas, IL",19827
"17043","DuPage, IL",933669
"17045","Edgar, IL",17625
"17047","Edwards, IL",6514
"17049","Effingham, IL",34200
"17051","Fayette, IL",22048
"17053","Ford, IL",13527
"17055","Franklin, IL",39398
"17057","Fulton, IL",35709
"17059","Gallatin, IL",5224
"17061","Greene, IL",13345
"17063","Grundy, IL",50358
"17065","Hamilton, IL",8247
"17067","Hancock, IL",18217
"17069","Hardin, IL",4065
"17071","Henderson, IL",7001
"17073","Henry, IL",49654
"17075","Iroquois, IL",28529
"17077","Jackson, IL",59249
"17079","Jasper, IL",9630
"17081","Jefferson, IL",38290
"17083","Jersey, IL",22268
"17085","Jo Daviess, IL",22068
"17087","Johnson, IL",12768
"17089","Kane, IL",528562
"17091","Kankakee, IL",111786
"17093","Kendall, IL",122892
"17095","Knox, IL",51377
"17097","Lake, IL",704687
"17099","LaSalle, IL",111015
"17101","Lawrence, IL",16467
"17103","Lee, IL",34521
"17105","Livingston, IL",36615
"17107","Logan, IL",29286
"17109","McDonough, IL",31461
"17111","McHenry, IL",307595
"17113","McLean, IL",173222
"17115","Macon, IL",107398
"17117","Macoupin, IL",45887
"17119","Madison, IL",266112
"17121","Marion, IL",38381
"17123","Marshall, IL",11925
"17125","Mason, IL",13862
"17127","Massac, IL",14568
"17129","Menard, IL",12364
"17131","Mercer, IL",15748
"17133","Monroe, IL",33811
"17135","Montgomery, IL",29196
"17137","Morgan, IL",34693
"17139","Moultrie, IL",14747
"17141","Ogle, IL",51572
"17143","Peoria, IL",186552
"17145","Perry, IL",21522
"17147","Piatt, IL",16356
"17149","Pike, IL",15794
"17151","Pope, IL",4302
"17153","Pulaski, IL",5662
"17155","Putnam, IL",5729
"17157","Randolph, IL",32754
"17159","Richland, IL",15952
"17161","Rock Island, IL",146161
"17163","St. Clair, IL",265008
"17165","Saline, IL",24495
"17167","Sangamon, IL",198973
"17169","Schuyler, IL",7150
"17171","Scott, IL",5112
"17173","Shelby, IL",21819
"17175","Stark, IL",5508
"17177","Stephenson, IL",45680
"17179","Tazewell, IL",134350
"17181","Union, IL",17285
"17183","Vermilion, IL",79209
"17185","Wabash, IL",11627
"17187","Warren, IL",17448
"17189","Washington, IL",14259
"17191","Wayne, IL",16534
"17193","White, IL",14204
"17195","Whiteside, IL",56943
"17197","Will, IL",685825
"17199","Williamson, IL",67457
"17201","Winnebago, IL",287237
"17203","Woodford, IL",38949
"Legend / Footnotes:"
"1/ Census Bureau midyear population estimates. Estimates for 2010-2020 reflect county population estimates available as of March 2021. These population estimates are based on the 2010 census. BEA will incorporate Census Bureau midyear population estimates based on the 2020 census results when they become available."
"Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget (OMB) bulletin no. 20-01 issued March 6, 2020."
"Note. All dollar estimates are in thousands of current dollars (not adjusted for inflation). Statistics presented in thousands of dollars do not indicate more precision than statistics presented in millions of dollars."
"Last updated: November 16, 2021-- new statistics for 2020; revised statistics for 1998-2019."
