city_fips,cty_fips,city_name,cty_name,feature,cty_seat
103220,01001,Autaugaville,Autauga County,Populated Place,0
106460,01001,Billingsley,Autauga County,Populated Place,0
108296,01001,Booth,Autauga County,Populated Place,0
138872,01001,Jones,Autauga County,Populated Place,0
162328,01001,Prattville,Autauga County,County Seat,1
104660,01003,Bay Minette,Baldwin County,County Seat,1
119648,01003,Daphne,Baldwin County,Populated Place,0
123320,01003,Elberta,Baldwin County,Populated Place,0
125240,01003,Fairhope,Baldwin County,Populated Place,0
126992,01003,Foley,Baldwin County,Populated Place,0
127592,01003,Fort Morgan,Baldwin County,Populated Place,0
129224,01003,Gasque,Baldwin County,Populated Place,0
132272,01003,Gulf Shores,Baldwin County,Populated Place,0
142928,01003,Lillian,Baldwin County,Populated Place,0
144608,01003,Loxley,Baldwin County,Populated Place,0
157144,01003,Orange Beach,Baldwin County,Populated Place,0
159064,01003,Perdido,Baldwin County,Populated Place,0
161488,01003,Point Clear,Baldwin County,Populated Place,0
165208,01003,Robertsdale,Baldwin County,Populated Place,0
169216,01003,Seminole,Baldwin County,Populated Place,0
170536,01003,Silverhill,Baldwin County,Populated Place,0
171976,01003,Spanish Fort,Baldwin County,Populated Place,0
172816,01003,Stapleton,Baldwin County,Populated Place,0
173272,01003,Stockton,Baldwin County,Populated Place,0
173872,01003,Summerdale,Baldwin County,Populated Place,0
175408,01003,Tensaw,Baldwin County,Populated Place,0
103724,01005,Baker Hill,Barbour County,Populated Place,0
104564,01005,Batesville,Barbour County,Populated Place,0
107672,01005,Blue Springs,Barbour County,Populated Place,0
115376,01005,Clayton,Barbour County,County Seat,1
115640,01005,Clio,Barbour County,Populated Place,0
116864,01005,Comer,Barbour County,Populated Place,0
124568,01005,Eufaula,Barbour County,Populated Place,0
144344,01005,Louisville,Barbour County,Populated Place,0
152008,01005,Mount Andrew,Barbour County,Populated Place,0
175504,01005,Texasville,Barbour County,Populated Place,0
102812,01007,Ashby,Bibb County,Populated Place,0
109136,01007,Brent,Bibb County,Populated Place,0
113672,01007,Centreville,Bibb County,County Seat,1
124232,01007,Eoline,Bibb County,Populated Place,0
141752,01007,Lawley,Bibb County,Populated Place,0
147152,01007,Marvel,Bibb County,Populated Place,0
155018,01007,North Bibb,Bibb County,Populated Place,0
163432,01007,Randolph,Bibb County,Populated Place,0
180928,01007,West Blocton,Bibb County,Populated Place,0
183640,01007,Woodstock,Bibb County,Populated Place,0
101396,01009,Allgood,Blount County,Populated Place,0
103868,01009,Bangor,Blount County,Populated Place,0
107456,01009,Blountsville,Blount County,Populated Place,0
109760,01009,Brooksville,Blount County,Populated Place,0
115472,01009,Cleveland,Blount County,Populated Place,0
117968,01009,County Line,Blount County,Populated Place,0
133640,01009,Hayden,Blount County,Populated Place,0
134168,01009,Hendrix,Blount County,Populated Place,0
134480,01009,Highland Lake,Blount County,Populated Place,0
142136,01009,Lehigh,Blount County,Populated Place,0
143888,01009,Locust Fork,Blount County,Populated Place,0
153448,01009,Nectar,Blount County,Populated Place,0
157000,01009,Oneonta,Blount County,County Seat,1
166408,01009,Rosa,Blount County,Populated Place,0
171201,01009,Smoke Rise,Blount County,Populated Place,0
171280,01009,Snead,Blount County,Populated Place,0
173920,01009,Summit,Blount County,Populated Place,0
174160,01009,Susan Moore,Blount County,Populated Place,0
100196,01011,Aberfoil,Bullock County,Populated Place,0
137744,01011,Inverness,Bullock County,Populated Place,0
148424,01011,Midway,Bullock County,Populated Place,0
149192,01011,Mitchell,Bullock County,Populated Place,0
158550,01011,Peachburg,Bullock County,Populated Place,0
159136,01011,Perote,Bullock County,Populated Place,0
170080,01011,Shopton,Bullock County,Populated Place,0
177880,01011,Union Springs,Bullock County,County Seat,1
108176,01013,Bolling,Butler County,Populated Place,0
113912,01013,Chapman,Butler County,Populated Place,0
127304,01013,Forest Home,Butler County,Populated Place,0
129128,01013,Garland,Butler County,Populated Place,0
129560,01013,Georgiana,Butler County,Populated Place,0
131912,01013,Greenville,Butler County,County Seat,1
145496,01013,McKenzie,Butler County,Populated Place,0
101852,01015,Anniston,Calhoun County,County Seat,1
107552,01015,Blue Mountain,Calhoun County,Populated Place,0
111128,01015,Bynum,Calhoun County,Populated Place,0
119936,01015,DeArmanville,Calhoun County,Populated Place,0
124592,01015,Eulaton,Calhoun County,Populated Place,0
135152,01015,Hobson City,Calhoun County,Populated Place,0
138272,01015,Jacksonville,Calhoun County,Populated Place,0
