"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2022","JAN","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","12.8",""
"SURVEY","2022","FEB","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","14.9",""
"SURVEY","2022","MAR","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","15.4",""
"SURVEY","2022","APR","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","16",""
"SURVEY","2022","MAY","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","16.5",""
"SURVEY","2022","JUN","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","16.6",""
"SURVEY","2022","JUL","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","16",""
"SURVEY","2021","MARKETING YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","13.2",""
"SURVEY","2021","JAN","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","10.6",""
"SURVEY","2021","FEB","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","12.4",""
