SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4
2021-2022,17,ILLINOIS,IL,River Ridge High School,River Ridge CUSD 210,1,,IL-08-043-2100-26,1700001,IL-08-043-2100-26-0804321000002,1.7E+11,1705115,4141 IL Route 84 S,,,Hanover,IL,61041,9631,4141 IL Route 84 S,,,Hanover,IL,61041,9631
2021-2022,17,ILLINOIS,IL,River Ridge Middle School,River Ridge CUSD 210,1,,IL-08-043-2100-26,1700001,IL-08-043-2100-26-0804321001001,1.7E+11,1705116,4141 IL Route 84 S,,,Hanover,IL,61041,9631,4141 IL Route 84 S,,,Hanover,IL,61041,9631
2021-2022,17,ILLINOIS,IL,River Ridge Elementary School,River Ridge CUSD 210,1,,IL-08-043-2100-26,1700001,IL-08-043-2100-26-0804321002003,1.7E+11,1705651,4141 IL Route 84 S,,,Hanover,IL,61041,9631,4141 IL Route 84 S,,,Hanover,IL,61041,9631
2021-2022,17,ILLINOIS,IL,Casey-Westfield Jr/Sr HS,Casey-Westfield CUSD 4C,1,,IL-11-012-004C-26,1700002,IL-11-012-004C-26-11012004C0001,1.7E+11,1705087,306 E Edgar Ave,,,Casey,IL,62420,1445,306 E Edgar Ave,,,Casey,IL,62420,1445
2021-2022,17,ILLINOIS,IL,Monroe Elem School,Casey-Westfield CUSD 4C,1,,IL-11-012-004C-26,1700002,IL-11-012-004C-26-11012004C2003,1.7E+11,1705089,301 E Monroe Ave,,,Casey,IL,62420,1768,301 E Monroe Ave,,,Casey,IL,62420,1768
2021-2022,17,ILLINOIS,IL,Blue Ridge High School,Blue Ridge CUSD 18,1,,IL-17-020-0180-26,1700003,IL-17-020-0180-26-1702001800001,1.7E+11,1705119,411 N John St,,,Farmer City,IL,61842,1159,411 N John St,,,Farmer City,IL,61842,1159
2021-2022,17,ILLINOIS,IL,Ruth M Schneider Elem School,Blue Ridge CUSD 18,1,,IL-17-020-0180-26,1700003,IL-17-020-0180-26-1702001802003,1.7E+11,1705121,309 N John St,,,Farmer City,IL,61842,1209,309 N John St,,,Farmer City,IL,61842,1209
2021-2022,17,ILLINOIS,IL,Blue Ridge Intermediate-Jr High Sch,Blue Ridge CUSD 18,1,,IL-17-020-0180-26,1700003,IL-17-020-0180-26-1702001802005,1.7E+11,1705123,PO Box 69,,,Mansfield,IL,61854,69,PO Box 69,,,Mansfield,IL,61854,69
2021-2022,17,ILLINOIS,IL,Norris City-Omaha Elem School,Norris City-Omaha-Enfield CUSD 3,1,,IL-20-097-0030-26,1700004,IL-20-097-0030-26-2009700302002,1.7E+11,1703009,PO Box 399,,,Norris City,IL,62869,399,PO Box 399,,,Norris City,IL,62869,399
2021-2022,17,ILLINOIS,IL,Norris City-Omaha-Enfield H S,Norris City-Omaha-Enfield CUSD 3,1,,IL-20-097-0030-26,1700004,IL-20-097-0030-26-2009700300001,1.7E+11,1703010,PO Box 399,,,Norris City,IL,62869,399,PO Box 399,,,Norris City,IL,62869,399
2021-2022,17,ILLINOIS,IL,Booth Elementary School,Norris City-Omaha-Enfield CUSD 3,1,,IL-20-097-0030-26,1700004,IL-20-097-0030-26-2009700302003,1.7E+11,1705125,PO Box 39,,,Enfield,IL,62835,39,PO Box 39,,,Enfield,IL,62835,39
