cty_fips,st,cty,pop_2010,rucc
1001,AL,Autauga County,"54,571",2
1003,AL,Baldwin County,"182,265",3
1005,AL,Barbour County,"27,457",6
1007,AL,Bibb County,"22,915",1
1009,AL,Blount County,"57,322",1
1011,AL,Bullock County,"10,914",6
1013,AL,Butler County,"20,947",6
1015,AL,Calhoun County,"118,572",3
1017,AL,Chambers County,"34,215",6
1019,AL,Cherokee County,"25,989",6
1021,AL,Chilton County,"43,643",1
1023,AL,Choctaw County,"13,859",9
1025,AL,Clarke County,"25,833",7
1027,AL,Clay County,"13,932",9
1029,AL,Cleburne County,"14,972",8
1031,AL,Coffee County,"49,948",4
1033,AL,Colbert County,"54,428",3
1035,AL,Conecuh County,"13,228",7
1037,AL,Coosa County,"11,539",8
1039,AL,Covington County,"37,765",6
1041,AL,Crenshaw County,"13,906",8
1043,AL,Cullman County,"80,406",4
1045,AL,Dale County,"50,251",4
1047,AL,Dallas County,"43,820",4
1049,AL,DeKalb County,"71,109",6
1051,AL,Elmore County,"79,303",2
1053,AL,Escambia County,"38,319",6
1055,AL,Etowah County,"104,430",3
1057,AL,Fayette County,"17,241",6
1059,AL,Franklin County,"31,704",6
1061,AL,Geneva County,"26,790",3
1063,AL,Greene County,"9,045",8
1065,AL,Hale County,"15,760",3
1067,AL,Henry County,"17,302",3
1069,AL,Houston County,"101,547",3
1071,AL,Jackson County,"53,227",6
1073,AL,Jefferson County,"658,466",1
1075,AL,Lamar County,"14,564",8
1077,AL,Lauderdale County,"92,709",3
1079,AL,Lawrence County,"34,339",3
1081,AL,Lee County,"140,247",3
1083,AL,Limestone County,"82,782",2
1085,AL,Lowndes County,"11,299",2
1087,AL,Macon County,"21,452",6
1089,AL,Madison County,"334,811",2
1091,AL,Marengo County,"21,027",7
1093,AL,Marion County,"30,776",7
1095,AL,Marshall County,"93,019",4
1097,AL,Mobile County,"412,992",2
1099,AL,Monroe County,"23,068",7
1101,AL,Montgomery County,"229,363",2
1103,AL,Morgan County,"119,490",3
1105,AL,Perry County,"10,591",8
1107,AL,Pickens County,"19,746",3
1109,AL,Pike County,"32,899",6
1111,AL,Randolph County,"22,913",6
1113,AL,Russell County,"52,947",2
1115,AL,St. Clair County,"83,593",1
1117,AL,Shelby County,"195,085",1
1119,AL,Sumter County,"13,763",8
1121,AL,Talladega County,"82,291",4
1123,AL,Tallapoosa County,"41,616",6
1125,AL,Tuscaloosa County,"194,656",3
1127,AL,Walker County,"67,023",1
1129,AL,Washington County,"17,581",8
1131,AL,Wilcox County,"11,670",9
1133,AL,Winston County,"24,484",6
2013,AK,Aleutians East Borough,"3,141",9
2016,AK,Aleutians West Census Area,"5,561",9
2020,AK,Anchorage Municipality,"291,826",2
2050,AK,Bethel Census Area,"17,013",7
2060,AK,Bristol Bay Borough,997,9
2068,AK,Denali Borough,"1,826",8
2070,AK,Dillingham Census Area,"4,847",9
2090,AK,Fairbanks North Star Borough,"97,581",3
2100,AK,Haines Borough,"2,508",9
2105,AK,"Hoonah-Angoon Census Area, AK","2,150",9
2110,AK,Juneau City and Borough,"31,275",5
2122,AK,Kenai Peninsula Borough,"55,400",7
2130,AK,Ketchikan Gateway Borough,"13,477",7
2150,AK,Kodiak Island Borough,"13,592",7
2164,AK,Lake and Peninsula Borough,"1,631",9
2170,AK,Matanuska-Susitna Borough,"88,995",2
2180,AK,Nome Census Area,"9,492",7
2185,AK,North Slope Borough,"9,430",7
2188,AK,Northwest Arctic Borough,"7,523",7
2195,AK,Petersburg Census area,"3,815",9
2198,AK,Price of Wales Hyder Census Area,"5,559",9
2220,AK,Sitka City and Borough,"8,881",7
2230,AK,Skagway Municipality,968,9
2240,AK,Southeast Fairbanks Census Area,"7,029",9
2261,AK,Valdez-Cordova Census Area,"9,636",9
2270,AK,Wade Hampton Census Area,"7,459",9
2275,AK,Wrangell City and Borough,"2,369",9
2282,AK,Yakutat City and Borough,662,9
2290,AK,Yukon-Koyukuk Census Area,"5,588",9
4001,AZ,Apache County,"71,518",6
4003,AZ,Cochise County,"131,346",3
4005,AZ,Coconino County,"134,421",3
4007,AZ,Gila County,"53,597",4
4009,AZ,Graham County,"37,220",7
4011,AZ,Greenlee County,"8,437",7
4012,AZ,La Paz County,"20,489",6
4013,AZ,Maricopa County,"3,817,117",1
4015,AZ,Mohave County,"200,186",3
4017,AZ,Navajo County,"107,449",4
4019,AZ,Pima County,"980,263",2
4021,AZ,Pinal County,"375,770",1
4023,AZ,Santa Cruz County,"47,420",4
4025,AZ,Yavapai County,"211,033",3
4027,AZ,Yuma County,"195,751",3
5001,AR,Arkansas County,"19,019",6
5003,AR,Ashley County,"21,853",7
5005,AR,Baxter County,"41,513",7
5007,AR,Benton County,"221,339",2
5009,AR,Boone County,"36,903",7
5011,AR,Bradley County,"11,508",7
5013,AR,Calhoun County,"5,368",9
5015,AR,Carroll County,"27,446",6
